It: 23000, Loss: 6.312e+01, l1: 0.906, l2: 0.01186, Time: 6.78
It: 23100, Loss: 6.309e+01, l1: 0.906, l2: 0.01178, Time: 7.37
It: 23200, Loss: 6.306e+01, l1: 0.906, l2: 0.01183, Time: 6.58
It: 23300, Loss: 6.303e+01, l1: 0.906, l2: 0.01191, Time: 6.16
It: 23400, Loss: 6.300e+01, l1: 0.906, l2: 0.01183, Time: 8.26
It: 23500, Loss: 6.297e+01, l1: 0.906, l2: 0.01181, Time: 6.74
It: 23600, Loss: 6.294e+01, l1: 0.906, l2: 0.01181, Time: 7.06
It: 23700, Loss: 6.290e+01, l1: 0.906, l2: 0.01182, Time: 6.54
It: 23800, Loss: 6.287e+01, l1: 0.906, l2: 0.01180, Time: 6.19
It: 23900, Loss: 6.284e+01, l1: 0.906, l2: 0.01180, Time: 6.01
It: 24000, Loss: 6.280e+01, l1: 0.906, l2: 0.01180, Time: 6.82
It: 24100, Loss: 6.277e+01, l1: 0.906, l2: 0.01178, Time: 6.83
It: 24200, Loss: 6.273e+01, l1: 0.906, l2: 0.01180, Time: 6.58
It: 24300, Loss: 6.270e+01, l1: 0.906, l2: 0.01178, Time: 6.48
It: 24400, Loss: 6.267e+01, l1: 0.906, l2: 0.01175, Time: 6.66
It: 24500, Loss: 6.264e+01, l1: 0.906, l2: 0.01175, Time: 6.28
It: 24600, Loss: 6.262e+01, l1: 0.906, l2: 0.01209, Time: 7.92
It: 24700, Loss: 6.257e+01, l1: 0.906, l2: 0.01177, Time: 6.58
It: 24800, Loss: 6.254e+01, l1: 0.906, l2: 0.01172, Time: 6.92
It: 24900, Loss: 6.251e+01, l1: 0.906, l2: 0.01176, Time: 7.10
It: 25000, Loss: 6.248e+01, l1: 0.906, l2: 0.01184, Time: 6.56
It: 25100, Loss: 6.245e+01, l1: 0.906, l2: 0.01180, Time: 7.20
It: 25200, Loss: 6.242e+01, l1: 0.906, l2: 0.01182, Time: 6.78
It: 25300, Loss: 6.240e+01, l1: 0.906, l2: 0.01180, Time: 6.50
It: 25400, Loss: 6.237e+01, l1: 0.906, l2: 0.01182, Time: 5.89
It: 25500, Loss: 6.234e+01, l1: 0.906, l2: 0.01180, Time: 7.00
It: 25600, Loss: 6.232e+01, l1: 0.906, l2: 0.01170, Time: 6.73
It: 25700, Loss: 6.229e+01, l1: 0.906, l2: 0.01173, Time: 6.46
It: 25800, Loss: 6.226e+01, l1: 0.906, l2: 0.01180, Time: 6.82
It: 25900, Loss: 6.224e+01, l1: 0.906, l2: 0.01180, Time: 6.34
It: 26000, Loss: 6.221e+01, l1: 0.906, l2: 0.01184, Time: 6.79
It: 26100, Loss: 6.219e+01, l1: 0.906, l2: 0.01178, Time: 7.95
It: 26200, Loss: 6.216e+01, l1: 0.906, l2: 0.01187, Time: 6.63
It: 26300, Loss: 6.214e+01, l1: 0.906, l2: 0.01188, Time: 7.21
It: 26400, Loss: 6.211e+01, l1: 0.906, l2: 0.01199, Time: 6.61
It: 26500, Loss: 6.209e+01, l1: 0.906, l2: 0.01193, Time: 7.35
It: 26600, Loss: 6.206e+01, l1: 0.906, l2: 0.01196, Time: 6.76
It: 26700, Loss: 6.204e+01, l1: 0.906, l2: 0.01209, Time: 6.33
It: 26800, Loss: 6.201e+01, l1: 0.906, l2: 0.01192, Time: 6.50
It: 26900, Loss: 6.199e+01, l1: 0.906, l2: 0.01189, Time: 6.53
It: 27000, Loss: 6.197e+01, l1: 0.906, l2: 0.01200, Time: 6.90
It: 27100, Loss: 6.194e+01, l1: 0.906, l2: 0.01195, Time: 6.74
It: 27200, Loss: 6.192e+01, l1: 0.906, l2: 0.01193, Time: 7.66
It: 27300, Loss: 6.189e+01, l1: 0.906, l2: 0.01197, Time: 6.83
It: 27400, Loss: 6.187e+01, l1: 0.906, l2: 0.01193, Time: 6.67
It: 27500, Loss: 6.184e+01, l1: 0.906, l2: 0.01199, Time: 7.32
It: 27600, Loss: 6.182e+01, l1: 0.906, l2: 0.01200, Time: 8.07
It: 27700, Loss: 6.180e+01, l1: 0.906, l2: 0.01201, Time: 6.71
It: 27800, Loss: 6.177e+01, l1: 0.906, l2: 0.01198, Time: 7.08
It: 27900, Loss: 6.175e+01, l1: 0.905, l2: 0.01202, Time: 6.95
It: 28000, Loss: 6.173e+01, l1: 0.905, l2: 0.01201, Time: 6.59
It: 28100, Loss: 6.170e+01, l1: 0.905, l2: 0.01204, Time: 6.48
It: 28200, Loss: 6.168e+01, l1: 0.905, l2: 0.01213, Time: 6.70
It: 28300, Loss: 6.166e+01, l1: 0.905, l2: 0.01200, Time: 6.01
It: 28400, Loss: 6.164e+01, l1: 0.905, l2: 0.01206, Time: 5.91
It: 28500, Loss: 6.163e+01, l1: 0.906, l2: 0.01173, Time: 6.91
It: 28600, Loss: 6.160e+01, l1: 0.905, l2: 0.01201, Time: 5.83
It: 28700, Loss: 6.158e+01, l1: 0.905, l2: 0.01198, Time: 6.73
It: 28800, Loss: 6.156e+01, l1: 0.905, l2: 0.01206, Time: 6.55
It: 28900, Loss: 6.154e+01, l1: 0.905, l2: 0.01189, Time: 7.05
It: 29000, Loss: 6.152e+01, l1: 0.905, l2: 0.01204, Time: 6.67
It: 29100, Loss: 6.150e+01, l1: 0.905, l2: 0.01200, Time: 7.23
It: 29200, Loss: 6.149e+01, l1: 0.905, l2: 0.01212, Time: 6.72
It: 29300, Loss: 6.146e+01, l1: 0.905, l2: 0.01206, Time: 6.46
It: 29400, Loss: 6.144e+01, l1: 0.905, l2: 0.01207, Time: 6.62
It: 29500, Loss: 6.143e+01, l1: 0.905, l2: 0.01206, Time: 6.90
It: 29600, Loss: 6.141e+01, l1: 0.905, l2: 0.01173, Time: 6.16
It: 29700, Loss: 6.139e+01, l1: 0.905, l2: 0.01205, Time: 8.75
It: 29800, Loss: 6.137e+01, l1: 0.905, l2: 0.01206, Time: 7.13
It: 29900, Loss: 6.136e+01, l1: 0.905, l2: 0.01202, Time: 6.46
It: 30000, Loss: 6.134e+01, l1: 0.905, l2: 0.01206, Time: 8.47
It: 30100, Loss: 6.133e+01, l1: 0.905, l2: 0.01206, Time: 8.58
It: 30200, Loss: 6.132e+01, l1: 0.905, l2: 0.01206, Time: 7.99
It: 30300, Loss: 6.132e+01, l1: 0.905, l2: 0.01206, Time: 6.81
It: 30400, Loss: 6.131e+01, l1: 0.905, l2: 0.01206, Time: 6.67
It: 30500, Loss: 6.130e+01, l1: 0.905, l2: 0.01206, Time: 6.86
