It: 19500, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.64
It: 19600, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.51
It: 19700, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.24
It: 19800, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.40
It: 19900, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.38
It: 20000, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.31
It: 20100, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.78
It: 20200, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 9.24
It: 20300, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 9.11
It: 20400, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.78
It: 20500, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.57
It: 20600, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.99
It: 20700, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.63
It: 20800, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.90
It: 20900, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.98
It: 21000, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 9.10
It: 21100, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 9.19
It: 21200, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 9.35
It: 21300, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 9.35
It: 21400, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.94
It: 21500, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.59
It: 21600, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 9.16
It: 21700, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.58
It: 21800, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.46
It: 21900, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.02
It: 22000, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.28
It: 22100, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.57
It: 22200, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.28
It: 22300, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.62
It: 22400, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.53
It: 22500, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.91
It: 22600, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 9.01
It: 22700, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.96
It: 22800, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 9.00
It: 22900, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 9.16
It: 23000, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 9.20
It: 23100, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 9.13
It: 23200, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 9.24
It: 23300, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 9.07
It: 23400, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 9.28
It: 23500, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 9.23
It: 23600, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.46
It: 23700, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 9.07
It: 23800, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 9.14
It: 23900, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.68
It: 24000, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.63
It: 24100, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 9.02
It: 24200, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.82
It: 24300, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 9.07
It: 24400, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.97
It: 24500, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.88
It: 24600, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.89
It: 24700, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.90
It: 24800, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.67
It: 24900, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.52
It: 25000, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.44
It: 25100, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.18
It: 25200, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.10
It: 25300, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.09
It: 25400, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.50
It: 25500, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.79
It: 25600, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.81
It: 25700, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.80
It: 25800, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.81
It: 25900, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.37
It: 26000, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.59
It: 26100, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 9.13
It: 26200, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.93
It: 26300, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.59
It: 26400, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.38
It: 26500, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.75
It: 26600, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 9.06
It: 26700, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 9.26
It: 26800, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 9.28
It: 26900, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 9.06
It: 27000, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.95
It: 27100, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.82
It: 27200, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 9.17
It: 27300, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 9.18
