torch.Size([1000000, 3]) torch.Size([1000000, 1]) torch.Size([1000000, 1])
It: 13900, Loss: 9.644e-02, lamd1: -0.003, lamd2: 0.00016, Time: 42.37
It: 14000, Loss: 9.524e-02, lamd1: -0.003, lamd2: 0.00020, Time: 42.34
It: 14100, Loss: 9.474e-02, lamd1: -0.003, lamd2: 0.00016, Time: 42.52
It: 14200, Loss: 9.450e-02, lamd1: -0.003, lamd2: 0.00013, Time: 42.44
It: 14300, Loss: 9.433e-02, lamd1: -0.003, lamd2: 0.00011, Time: 42.50
It: 14400, Loss: 9.421e-02, lamd1: -0.003, lamd2: 0.00011, Time: 42.37
It: 14500, Loss: 9.412e-02, lamd1: -0.003, lamd2: 0.00011, Time: 42.27
It: 14600, Loss: 9.405e-02, lamd1: -0.003, lamd2: 0.00010, Time: 41.30
It: 14700, Loss: 9.416e-02, lamd1: -0.003, lamd2: 0.00008, Time: 41.73
It: 14800, Loss: 9.395e-02, lamd1: -0.003, lamd2: 0.00007, Time: 42.23
It: 14900, Loss: 9.392e-02, lamd1: -0.003, lamd2: 0.00005, Time: 42.31
It: 15000, Loss: 9.392e-02, lamd1: -0.003, lamd2: 0.00005, Time: 42.51
It: 15100, Loss: 9.382e-02, lamd1: -0.003, lamd2: 0.00003, Time: 41.74
It: 15200, Loss: 9.392e-02, lamd1: -0.002, lamd2: 0.00002, Time: 41.43
It: 15300, Loss: 9.368e-02, lamd1: 0.010, lamd2: 0.00024, Time: 41.57
It: 15400, Loss: 9.286e-02, lamd1: 0.036, lamd2: 0.00078, Time: 41.98
It: 15500, Loss: 9.236e-02, lamd1: 0.067, lamd2: 0.00188, Time: 41.78
It: 15600, Loss: 8.774e-02, lamd1: 0.438, lamd2: 0.01402, Time: 42.27
It: 15700, Loss: 8.123e-02, lamd1: 0.674, lamd2: 0.01756, Time: 42.32
It: 15800, Loss: 7.603e-02, lamd1: 0.772, lamd2: 0.01994, Time: 42.43
It: 15900, Loss: 6.734e-02, lamd1: 0.787, lamd2: 0.01965, Time: 42.46
It: 16000, Loss: 6.331e-02, lamd1: 0.796, lamd2: 0.01733, Time: 42.26
It: 16100, Loss: 6.079e-02, lamd1: 0.804, lamd2: 0.01637, Time: 41.84
It: 16200, Loss: 5.793e-02, lamd1: 0.818, lamd2: 0.01607, Time: 41.53
It: 16300, Loss: 5.588e-02, lamd1: 0.824, lamd2: 0.01596, Time: 42.25
It: 16400, Loss: 5.207e-02, lamd1: 0.836, lamd2: 0.01597, Time: 42.21
It: 16500, Loss: 5.290e-02, lamd1: 0.838, lamd2: 0.01452, Time: 42.07
It: 16600, Loss: 4.923e-02, lamd1: 0.833, lamd2: 0.01484, Time: 42.13
It: 16700, Loss: 4.289e-02, lamd1: 0.833, lamd2: 0.01376, Time: 42.12
It: 16800, Loss: 4.153e-02, lamd1: 0.832, lamd2: 0.01318, Time: 42.14
It: 16900, Loss: 4.063e-02, lamd1: 0.831, lamd2: 0.01264, Time: 42.32
It: 17000, Loss: 3.668e-02, lamd1: 0.827, lamd2: 0.01368, Time: 42.03
It: 17100, Loss: 3.724e-02, lamd1: 0.823, lamd2: 0.01234, Time: 42.03
It: 17200, Loss: 3.382e-02, lamd1: 0.817, lamd2: 0.01363, Time: 42.10
It: 17300, Loss: 2.867e-02, lamd1: 0.823, lamd2: 0.01409, Time: 42.13
It: 17400, Loss: 2.603e-02, lamd1: 0.830, lamd2: 0.01281, Time: 41.91
It: 17500, Loss: 2.466e-02, lamd1: 0.837, lamd2: 0.01204, Time: 42.02
It: 17600, Loss: 2.260e-02, lamd1: 0.841, lamd2: 0.01212, Time: 42.07
It: 17700, Loss: 2.171e-02, lamd1: 0.845, lamd2: 0.01130, Time: 42.14
It: 17800, Loss: 2.238e-02, lamd1: 0.852, lamd2: 0.01069, Time: 42.15
It: 17900, Loss: 2.233e-02, lamd1: 0.855, lamd2: 0.01079, Time: 42.02
It: 18000, Loss: 1.940e-02, lamd1: 0.859, lamd2: 0.01074, Time: 42.40
