It: 29100, Loss: 1.123e-06, nu: 0.020, Time: 10.71
It: 29200, Loss: 1.117e-06, nu: 0.020, Time: 10.71
It: 29300, Loss: 1.119e-06, nu: 0.020, Time: 10.72
It: 29400, Loss: 1.116e-06, nu: 0.020, Time: 10.73
It: 29500, Loss: 1.122e-06, nu: 0.020, Time: 10.73
It: 29600, Loss: 1.107e-06, nu: 0.020, Time: 10.72
It: 29700, Loss: 1.112e-06, nu: 0.020, Time: 10.74
It: 29800, Loss: 1.118e-06, nu: 0.020, Time: 10.74
It: 29900, Loss: 1.111e-06, nu: 0.020, Time: 10.73
It: 30000, Loss: 1.113e-06, nu: 0.020, Time: 10.80
It: 30100, Loss: 1.115e-06, nu: 0.020, Time: 10.74
It: 30200, Loss: 1.113e-06, nu: 0.020, Time: 10.75
It: 30300, Loss: 1.118e-06, nu: 0.020, Time: 10.79
It: 30400, Loss: 1.117e-06, nu: 0.020, Time: 10.71
It: 30500, Loss: 1.124e-06, nu: 0.020, Time: 10.71
It: 30600, Loss: 1.115e-06, nu: 0.020, Time: 10.70
It: 30700, Loss: 1.120e-06, nu: 0.020, Time: 10.71
It: 30800, Loss: 1.128e-06, nu: 0.020, Time: 10.70
It: 30900, Loss: 1.121e-06, nu: 0.020, Time: 10.69
It: 31000, Loss: 1.121e-06, nu: 0.020, Time: 10.74
It: 31100, Loss: 1.120e-06, nu: 0.020, Time: 10.75
It: 31200, Loss: 1.105e-06, nu: 0.020, Time: 10.75
It: 31300, Loss: 1.112e-06, nu: 0.020, Time: 10.75
It: 31400, Loss: 1.120e-06, nu: 0.020, Time: 10.76
It: 31500, Loss: 1.111e-06, nu: 0.020, Time: 10.76
It: 31600, Loss: 1.112e-06, nu: 0.020, Time: 10.73
It: 31700, Loss: 1.111e-06, nu: 0.020, Time: 10.74
It: 31800, Loss: 1.120e-06, nu: 0.020, Time: 10.74
It: 31900, Loss: 1.109e-06, nu: 0.020, Time: 10.74
It: 32000, Loss: 1.112e-06, nu: 0.020, Time: 10.78
It: 32100, Loss: 1.109e-06, nu: 0.020, Time: 10.74
It: 32200, Loss: 1.118e-06, nu: 0.020, Time: 10.73
It: 32300, Loss: 1.110e-06, nu: 0.020, Time: 10.75
It: 32400, Loss: 1.119e-06, nu: 0.020, Time: 10.75
It: 32500, Loss: 1.116e-06, nu: 0.020, Time: 10.71
It: 32600, Loss: 1.112e-06, nu: 0.020, Time: 10.69
