It: 22400, Loss: 6.538e+01, l1: 0.900, l2: 0.01318, Time: 4.20
It: 22500, Loss: 6.534e+01, l1: 0.900, l2: 0.01320, Time: 4.93
It: 22600, Loss: 6.529e+01, l1: 0.900, l2: 0.01322, Time: 4.63
It: 22700, Loss: 6.525e+01, l1: 0.900, l2: 0.01322, Time: 4.39
It: 22800, Loss: 6.520e+01, l1: 0.900, l2: 0.01320, Time: 4.08
It: 22900, Loss: 6.516e+01, l1: 0.900, l2: 0.01322, Time: 4.36
It: 23000, Loss: 6.512e+01, l1: 0.900, l2: 0.01324, Time: 4.01
It: 23100, Loss: 6.508e+01, l1: 0.900, l2: 0.01330, Time: 4.42
It: 23200, Loss: 6.506e+01, l1: 0.900, l2: 0.01329, Time: 4.69
It: 23300, Loss: 6.501e+01, l1: 0.900, l2: 0.01327, Time: 4.04
It: 23400, Loss: 6.497e+01, l1: 0.900, l2: 0.01321, Time: 5.11
It: 23500, Loss: 6.494e+01, l1: 0.900, l2: 0.01328, Time: 4.49
It: 23600, Loss: 6.490e+01, l1: 0.900, l2: 0.01330, Time: 4.04
It: 23700, Loss: 6.487e+01, l1: 0.900, l2: 0.01329, Time: 5.12
It: 23800, Loss: 6.484e+01, l1: 0.900, l2: 0.01331, Time: 4.43
It: 23900, Loss: 6.481e+01, l1: 0.900, l2: 0.01321, Time: 4.38
It: 24000, Loss: 6.478e+01, l1: 0.900, l2: 0.01358, Time: 4.96
It: 24100, Loss: 6.474e+01, l1: 0.900, l2: 0.01331, Time: 4.33
It: 24200, Loss: 6.471e+01, l1: 0.900, l2: 0.01332, Time: 4.32
It: 24300, Loss: 6.468e+01, l1: 0.900, l2: 0.01330, Time: 4.55
It: 24400, Loss: 6.466e+01, l1: 0.900, l2: 0.01334, Time: 4.15
It: 24500, Loss: 6.464e+01, l1: 0.900, l2: 0.01341, Time: 4.20
It: 24600, Loss: 6.460e+01, l1: 0.900, l2: 0.01335, Time: 4.57
It: 24700, Loss: 6.457e+01, l1: 0.900, l2: 0.01337, Time: 4.46
It: 24800, Loss: 6.455e+01, l1: 0.900, l2: 0.01337, Time: 4.14
It: 24900, Loss: 6.452e+01, l1: 0.900, l2: 0.01338, Time: 4.74
It: 25000, Loss: 6.451e+01, l1: 0.900, l2: 0.01346, Time: 4.54
It: 25100, Loss: 6.447e+01, l1: 0.900, l2: 0.01339, Time: 4.15
It: 25200, Loss: 6.445e+01, l1: 0.900, l2: 0.01339, Time: 4.73
It: 25300, Loss: 6.443e+01, l1: 0.900, l2: 0.01332, Time: 4.30
It: 25400, Loss: 6.441e+01, l1: 0.900, l2: 0.01348, Time: 4.02
It: 25500, Loss: 6.439e+01, l1: 0.900, l2: 0.01329, Time: 4.28
It: 25600, Loss: 6.436e+01, l1: 0.900, l2: 0.01350, Time: 4.05
It: 25700, Loss: 6.434e+01, l1: 0.900, l2: 0.01344, Time: 4.18
It: 25800, Loss: 6.432e+01, l1: 0.900, l2: 0.01330, Time: 4.05
It: 25900, Loss: 6.429e+01, l1: 0.900, l2: 0.01340, Time: 4.39
It: 26000, Loss: 6.430e+01, l1: 0.900, l2: 0.01360, Time: 4.27
It: 26100, Loss: 6.425e+01, l1: 0.900, l2: 0.01346, Time: 3.99
It: 26200, Loss: 6.423e+01, l1: 0.900, l2: 0.01346, Time: 4.36
It: 26300, Loss: 6.421e+01, l1: 0.900, l2: 0.01346, Time: 4.92
It: 26400, Loss: 6.419e+01, l1: 0.901, l2: 0.01347, Time: 4.09
It: 26500, Loss: 6.418e+01, l1: 0.901, l2: 0.01351, Time: 4.58
It: 26600, Loss: 6.415e+01, l1: 0.901, l2: 0.01348, Time: 4.35
It: 26700, Loss: 6.413e+01, l1: 0.901, l2: 0.01350, Time: 4.10
It: 26800, Loss: 6.411e+01, l1: 0.901, l2: 0.01349, Time: 4.37
It: 26900, Loss: 6.409e+01, l1: 0.901, l2: 0.01351, Time: 4.03
It: 27000, Loss: 6.408e+01, l1: 0.901, l2: 0.01350, Time: 4.36
It: 27100, Loss: 6.406e+01, l1: 0.901, l2: 0.01350, Time: 4.45
It: 27200, Loss: 6.404e+01, l1: 0.901, l2: 0.01352, Time: 4.02
It: 27300, Loss: 6.402e+01, l1: 0.901, l2: 0.01352, Time: 4.39
It: 27400, Loss: 6.400e+01, l1: 0.901, l2: 0.01351, Time: 4.22
It: 27500, Loss: 6.398e+01, l1: 0.901, l2: 0.01352, Time: 5.06
It: 27600, Loss: 6.397e+01, l1: 0.901, l2: 0.01348, Time: 4.53
It: 27700, Loss: 6.396e+01, l1: 0.901, l2: 0.01337, Time: 4.36
It: 27800, Loss: 6.393e+01, l1: 0.901, l2: 0.01353, Time: 4.01
It: 27900, Loss: 6.392e+01, l1: 0.901, l2: 0.01344, Time: 4.83
It: 28000, Loss: 6.390e+01, l1: 0.901, l2: 0.01354, Time: 4.56
It: 28100, Loss: 6.393e+01, l1: 0.901, l2: 0.01374, Time: 4.09
It: 28200, Loss: 6.386e+01, l1: 0.901, l2: 0.01355, Time: 4.32
It: 28300, Loss: 6.385e+01, l1: 0.901, l2: 0.01363, Time: 4.32
It: 28400, Loss: 6.383e+01, l1: 0.901, l2: 0.01361, Time: 4.37
It: 28500, Loss: 6.381e+01, l1: 0.901, l2: 0.01356, Time: 4.29
It: 28600, Loss: 6.380e+01, l1: 0.901, l2: 0.01369, Time: 4.02
It: 28700, Loss: 6.378e+01, l1: 0.901, l2: 0.01355, Time: 4.39
It: 28800, Loss: 6.376e+01, l1: 0.901, l2: 0.01349, Time: 4.27
It: 28900, Loss: 6.374e+01, l1: 0.901, l2: 0.01357, Time: 4.20
It: 29000, Loss: 6.373e+01, l1: 0.901, l2: 0.01358, Time: 4.30
It: 29100, Loss: 6.371e+01, l1: 0.901, l2: 0.01360, Time: 4.06
It: 29200, Loss: 6.369e+01, l1: 0.902, l2: 0.01359, Time: 4.93
It: 29300, Loss: 6.369e+01, l1: 0.902, l2: 0.01365, Time: 4.58
It: 29400, Loss: 6.366e+01, l1: 0.902, l2: 0.01358, Time: 3.42
It: 29500, Loss: 6.364e+01, l1: 0.902, l2: 0.01365, Time: 4.38
It: 29600, Loss: 6.363e+01, l1: 0.902, l2: 0.01365, Time: 4.28
It: 29700, Loss: 6.361e+01, l1: 0.902, l2: 0.01359, Time: 4.07
It: 29800, Loss: 6.360e+01, l1: 0.902, l2: 0.01357, Time: 4.38
It: 29900, Loss: 6.358e+01, l1: 0.902, l2: 0.01363, Time: 4.64
It: 30000, Loss: 6.357e+01, l1: 0.902, l2: 0.01364, Time: 4.07
It: 30100, Loss: 6.355e+01, l1: 0.902, l2: 0.01362, Time: 4.30
It: 30200, Loss: 6.354e+01, l1: 0.902, l2: 0.01362, Time: 4.10
It: 30300, Loss: 6.353e+01, l1: 0.902, l2: 0.01363, Time: 4.13
It: 30400, Loss: 6.352e+01, l1: 0.902, l2: 0.01363, Time: 4.35
It: 30500, Loss: 6.351e+01, l1: 0.902, l2: 0.01363, Time: 4.19
It: 30600, Loss: 6.350e+01, l1: 0.902, l2: 0.01363, Time: 4.17
It: 30700, Loss: 6.349e+01, l1: 0.902, l2: 0.01363, Time: 4.41
It: 30800, Loss: 6.348e+01, l1: 0.902, l2: 0.01363, Time: 4.22
It: 30900, Loss: 6.347e+01, l1: 0.902, l2: 0.01363, Time: 4.42
It: 31000, Loss: 6.345e+01, l1: 0.902, l2: 0.01363, Time: 4.39
It: 31100, Loss: 6.344e+01, l1: 0.902, l2: 0.01364, Time: 4.07
It: 31200, Loss: 6.343e+01, l1: 0.902, l2: 0.01364, Time: 4.36
It: 31300, Loss: 6.341e+01, l1: 0.902, l2: 0.01364, Time: 4.00
It: 31400, Loss: 6.340e+01, l1: 0.902, l2: 0.01364, Time: 4.34
It: 31500, Loss: 6.338e+01, l1: 0.902, l2: 0.01364, Time: 4.44
It: 31600, Loss: 6.336e+01, l1: 0.902, l2: 0.01364, Time: 4.05
It: 31700, Loss: 6.335e+01, l1: 0.902, l2: 0.01372, Time: 4.18
It: 31800, Loss: 6.333e+01, l1: 0.902, l2: 0.01365, Time: 4.38
It: 31900, Loss: 6.332e+01, l1: 0.902, l2: 0.01360, Time: 4.11
It: 32000, Loss: 6.330e+01, l1: 0.902, l2: 0.01365, Time: 4.02
It: 32100, Loss: 6.328e+01, l1: 0.902, l2: 0.01365, Time: 4.18
It: 32200, Loss: 6.326e+01, l1: 0.902, l2: 0.01365, Time: 4.87
It: 32300, Loss: 6.325e+01, l1: 0.903, l2: 0.01365, Time: 4.06
It: 32400, Loss: 6.323e+01, l1: 0.903, l2: 0.01365, Time: 3.96
